==1449== Lackey, an example Valgrind tool
==1449== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1449== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==1449== Command: ./benchmarks/native/memory_walk
==1449== Parent PID: 554
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402db40,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d40,8
I  0400212b,3
I  0400212e,4
 L 04000d48,4
I  04002132,6
I  04002138,4
 L 04000d50,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402db70,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d58,8
I  0400212b,3
I  0400212e,4
 L 04000d60,4
I  04002132,6
I  04002138,4
 L 04000d68,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402db78,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d70,8
I  0400212b,3
I  0400212e,4
 L 04000d78,4
I  04002132,6
I  04002138,4
 L 04000d80,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dbb0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d88,8
I  0400212b,3
I  0400212e,4
 L 04000d90,4
I  04002132,6
I  04002138,4
 L 04000d98,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dbe8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000da0,8
I  0400212b,3
I  0400212e,4
 L 04000da8,4
I  04002132,6
I  04002138,4
 L 04000db0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dc20,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000db8,8
I  0400212b,3
I  0400212e,4
 L 04000dc0,4
I  04002132,6
I  04002138,4
 L 04000dc8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dc58,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000dd0,8
I  0400212b,3
I  0400212e,4
 L 04000dd8,4
I  04002132,6
I  04002138,4
 L 04000de0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dc90,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000de8,8
I  0400212b,3
I  0400212e,4
 L 04000df0,4
I  04002132,6
I  04002138,4
 L 04000df8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dcc0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e00,8
I  0400212b,3
I  0400212e,4
 L 04000e08,4
I  04002132,6
I  04002138,4
 L 04000e10,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dcc8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e18,8
I  0400212b,3
I  0400212e,4
 L 04000e20,4
I  04002132,6
I  04002138,4
 L 04000e28,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dcf8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e30,8
I  0400212b,3
I  0400212e,4
 L 04000e38,4
I  04002132,6
I  04002138,4
 L 04000e40,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dd00,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e48,8
I  0400212b,3
I  0400212e,4
 L 04000e50,4
I  04002132,6
I  04002138,4
 L 04000e58,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dd38,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e60,8
I  0400212b,3
I  0400212e,4
 L 04000e68,4
I  04002132,6
I  04002138,4
 L 04000e70,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dd70,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e78,8
I  0400212b,3
I  0400212e,4
 L 04000e80,4
I  04002132,6
I  04002138,4
 L 04000e88,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dda0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000e90,8
I  0400212b,3
I  0400212e,4
 L 04000e98,4
I  04002132,6
I  04002138,4
 L 04000ea0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dda8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000ea8,8
I  0400212b,3
I  0400212e,4
 L 04000eb0,4
I  04002132,6
I  04002138,4
 L 04000eb8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dde0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000ec0,8
I  0400212b,3
I  0400212e,4
 L 04000ec8,4
I  04002132,6
I  04002138,4
 L 04000ed0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402de18,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000ed8,8
I  0400212b,3
I  0400212e,4
 L 04000ee0,4
I  04002132,6
I  04002138,4
 L 04000ee8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402de48,8
I  04002146,3
I  04002149,2
I  0400214b,8
 L 0402ebb8,8
I  04002153,6
I  04002159,7
I  04002160,3
I  04002163,2
I  04002187,4
 L 04000ef8,8
I  0400218b,3
 L 04000ef0,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 040005e4,1
I  040021b5,5
 L 040005e6,2
I  040021ba,4
 L 040005e8,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f00,8
I  04002264,3
 S 0402dfd8,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f10,8
I  0400218b,3
 L 04000f08,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 0400059c,1
I  040021b5,5
 L 0400059e,2
I  040021ba,4
 L 040005a0,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f18,8
I  04002264,3
 S 0402dfe0,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f28,8
I  0400218b,3
 L 04000f20,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 04000554,1
I  040021b5,5
 L 04000556,2
I  040021ba,4
 L 04000558,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
